stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,geometry,neighbourhood
00137,Oakville GO Bus,43.455966,-79.681676,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00137,0,1,POINT (-79.681676 43.455966),
00133,Square One,43.5946693,-79.6474915,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00133,0,1,POINT (-79.6474915 43.5946693),
00132,Square One,43.5945549,-79.6475983,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00132,0,1,POINT (-79.6475983 43.5945549),
00131,Langstaff Rd. E. @ Yonge St.,43.8326988,-79.427536,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00131,0,2,POINT (-79.427536 43.8326988),
00130,Langstaff Rd. E. @ Yonge St.,43.8325882,-79.4272537,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00130,0,2,POINT (-79.42725369999999 43.8325882),
00079,Yonge St. @ North York Blvd. (Mel Lastman Square),43.76810070000001,-79.4128571,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00079,0,1,POINT (-79.4128571 43.76810070000001),Willowdale West
00074,Yonge St. @ Steeles Ave. W.,43.7986336,-79.4200897,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00074,0,2,POINT (-79.42008970000001 43.7986336),
00073,Yonge St. @ Steeles Ave. W.,43.7982216,-79.4202805,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00073,0,1,POINT (-79.4202805 43.7982216),
00061,Langstaff Rd. E. @ Cedar Ave. (Langstaff GO),43.83663,-79.42024,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00061,0,1,POINT (-79.42024000000001 43.83663),
00060,Langstaff Rd. E. @ Cedar Ave. (Langstaff GO),43.836455,-79.420243,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00060,0,2,POINT (-79.420243 43.836455),
00028,Rutherford GO Bus,43.838582,-79.49894499999998,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00028,0,1,POINT (-79.49894499999998 43.838582),
00022,Keele St. @ Hwy. 401,43.7216759,-79.48082729999999,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00022,0,2,POINT (-79.48082729999999 43.7216759),Maple Leaf
00020,Hwy. 401 @ Keele St.,43.7232399,-79.4819412,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00020,0,1,POINT (-79.48194119999999 43.7232399),Downsview-Roding-CFB
00019,Yorkdale Bus Terminal,43.7249374,-79.4488754,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00019,0,1,POINT (-79.44887540000001 43.7249374),Yorkdale-Glen Park
00014,Yonge St. @ Langstaff Rd. E.,43.83232879999999,-79.42804720000002,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00014,0,1,POINT (-79.42804720000002 43.83232879999999),
00013,Finch Bus Terminal,43.7821732,-79.4150925,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00013,0,1,POINT (-79.4150925 43.7821732),Newtonbrook East
00011,York Mills Bus Terminal,43.745079,-79.4064636,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00011,0,1,POINT (-79.4064636 43.745079),St.Andrew-Windfields
00008,Yonge St. @ Sheppard Ave.,43.7615967,-79.41119379999998,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00008,0,1,POINT (-79.41119379999998 43.7615967),Lansing-Westgate
00006,Yonge St. @ Hwy. 407,43.83198170000001,-79.4283829,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00006,0,1,POINT (-79.4283829 43.83198170000001),
