lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc,neighbourhood,geometry,dist_nearest_park
43.7638433,-79.49811369999998,650.0,1,29958,0,1,1,315000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.49811369999998 43.7638433),136.58
43.7638433,-79.49811369999998,1500.0,1,29958,1,2,3,509900,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.49811369999998 43.7638433),136.58
43.7642763,-79.4947912,1100.0,1,29958,0,2,1,385000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.49479119999999 43.7642763),244.14
43.7642763,-79.4947912,950.0,1,29958,0,2,1,353000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.49479119999999 43.7642763),244.14
43.7642763,-79.4947912,1300.0,1,29958,0,3,2,442500,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.49479119999999 43.7642763),244.14
43.7642763,-79.4947912,1100.0,1,29958,0,2,1,406000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.49479119999999 43.7642763),244.14
43.7642763,-79.4947912,1100.0,1,29958,0,3,2,402000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.49479119999999 43.7642763),244.14
43.7643414,-79.49384529999998,1500.0,1,29958,2,4,3,460000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.49384529999998 43.7643414),208.26
43.76442520000001,-79.4962737,950.0,1,29958,0,2,1,390000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.4962737 43.76442520000001),124.52
43.76442520000001,-79.4962737,1100.0,1,29958,0,2,1,395000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.4962737 43.76442520000001),124.52
43.76442520000001,-79.4962737,950.0,1,29958,0,2,1,375000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.4962737 43.76442520000001),124.52
43.76442520000001,-79.4962737,1100.0,1,29958,0,2,1,424000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.4962737 43.76442520000001),124.52
