stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
02674,Hwy 407 Bus Terminal,43.783071323485096,-79.5244458372792,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02674,0,1
02673,Hwy 407 Bus Terminal,43.7830465622674,-79.5232260682288,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02673,0,1
02664,City Centre Dr. @ Duke of York Blvd.,43.589202904424106,-79.64274644800459,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02664,0,2
02663,City Centre Dr. @ Robert Speck Pkwy.,43.594225540709,-79.63927873049371,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02663,0,1
02662,City Centre Dr. @ Robert Speck Pkwy.,43.594748085345294,-79.6397587842478,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02662,0,1
02661,Renforth Transitway Station,43.662995090205,-79.5911181123626,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02661,0,1
02660,Renforth Transitway Station,43.6630754344014,-79.591281189024,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02660,0,1
02659,Dixie Transitway Station,43.630012894721794,-79.6146254772841,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02659,0,1
02658,Dixie Transitway Station,43.63004786630321,-79.6146878930147,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02658,0,1
02655,Hurontario St. @ Fairview Rd.,43.587590761070096,-79.62650466709121,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02655,0,1
02654,Hurontario St. @ Elm Dr.,43.5908331882659,-79.63101442796851,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02654,0,2
02568,Yonge St. @ Sheppard Ave.,43.761398299999996,-79.4107361,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02568,0,1
02535,Hwy. 50 @ Ebenezer Rd.,43.777972999999996,-79.654884,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02535,0,1
02534,Hwy. 50 @ Ebenezer Rd.,43.779167,-79.655106,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02534,0,1
02533,Hwy. 50 @ Queen St. E.,43.768192,-79.648849,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02533,0,1
02414,City Centre Dr. @ Mercer St.,43.5895958,-79.6420135,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02414,0,1
02407,Scarborough Centre Bus Terminal,43.7746925,-79.2563095,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02407,0,1
02300,Union Station Bus Terminal,43.644042,-79.37693900000001,2,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02300,0,1
02209,Renforth Dr. @ Convair Dr.,43.6723671,-79.5936432,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02209,0,2
02208,Renforth Dr. @ Convair Dr.,43.6720657,-79.5930939,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02208,0,1
02127,Yonge St. @ Clark Ave. E.,43.8069839,-79.42214969999999,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02127,0,2
02092,Yonge St. @ Uplands Ave.,43.8269348,-79.42678070000001,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02092,0,1
02088,Yonge St. @ Thornhill Ave.,43.825321200000005,-79.4267273,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02088,0,1
02079,Yonge St. @ Royal Orchard Blvd.,43.8227158,-79.42579649999999,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02079,0,2
02078,Yonge St. @ Royal Orchard Blvd.,43.8223343,-79.42603299999999,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02078,0,1
02058,Yonge St. @ Meadowview Ave.,43.802009600000005,-79.42131040000001,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02058,0,1
02043,Yonge St. @ John St.,43.8139114,-79.4238434,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02043,0,2
02042,Yonge St. @ Thornridge Dr.,43.813579600000004,-79.42401120000001,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02042,0,2
02036,Yonge St. @ Hwy. 407,43.8365974,-79.42935179999999,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02036,0,2
02034,Yonge St. @ Hwy. 407,43.8368607,-79.4290314,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02034,0,2
02024,Yonge St. @ Glen Cameron Rd.,43.8051033,-79.42171479999999,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02024,0,1
02023,Yonge St. @ Glen Cameron Rd.,43.8057404,-79.42220309999999,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02023,0,2
02021,Yonge St. @ Garden Ave.,43.838455200000006,-79.42977909999999,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02021,0,1
02018,Yonge St. @ Elgin St.,43.810688,-79.4231033,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02018,0,1
02012,Yonge St. @ Doncaster Ave.,43.8016968,-79.4208908,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02012,0,1
02004,Yonge St. @ Clark Ave. W.,43.807311999999996,-79.4226227,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02004,0,1
01998,Yonge St. @ Centre St.,43.8164711,-79.4247208,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01998,0,1
01997,Yonge St. @ Bunker Rd.,43.8288956,-79.42729190000001,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01997,0,1
01996,Yonge St. @ Bunker Rd.,43.828952799999996,-79.4275894,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01996,0,1
01987,Yonge St. @ Bay Thorn Dr.,43.8248672,-79.42629240000001,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01987,0,1
01905,Langstaff Rd. E. @ Bayview Ave.,43.834636700000004,-79.4062042,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01905,0,2
01803,Bayview Ave. @ Langstaff Rd. E.,43.8349037,-79.4053802,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01803,0,2
01729,Trafalgar Rd. @ Leighland Ave.,43.4647789,-79.68802640000001,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01729,0,2
01727,Trafalgar Rd. @ White Oaks Blvd.,43.466686200000005,-79.6899948,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01727,0,1
01662,Yonge St. @ Greenfield Ave.,43.7631454,-79.4112015,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01662,0,1
01661,Yonge St. @ Finch Ave.,43.7804375,-79.4156036,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01661,0,1
01660,Yonge St. @ Empress Ave.,43.769180299999995,-79.41265870000001,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01660,0,2
01657,Yonge St. @ William Carson Cr.,43.7471085,-79.4072647,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01657,0,1
01655,Yonge St. @ Norton Ave.,43.7721901,-79.41342159999999,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01655,0,2
01654,Yonge St. @ Ellerslie Ave.,43.7724152,-79.4139328,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01654,0,1
01653,Yonge St. @ Elmwood Ave.,43.7664719,-79.4120407,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01653,0,1
01652,Yonge St. @ Madawaska Ave.,43.7941246,-79.41896820000001,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01652,0,1
01651,Yonge St. @ Kempford Blvd.,43.777153000000006,-79.4150925,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01651,0,1
01650,Yonge St. @ Northtown Way,43.7753067,-79.4142609,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01650,0,1
01648,Yonge St. @ Glendora Ave.,43.7586899,-79.41004179999999,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01648,0,2
01647,Yonge St. @ Florence Ave.,43.7582703,-79.41023249999999,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01647,0,1
01646,Yonge St. @ Drewry Ave.,43.7871094,-79.41750340000002,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01646,0,2
01645,Yonge St. @ Cummer Ave.,43.787567100000004,-79.4172745,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01645,0,1
01644,Yonge St. @ Churchill Ave.,43.774173700000006,-79.4143219,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01644,0,1
01402,Regional Rd. 50 @ Countryside Dr.,43.8368378,-79.6890564,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01402,0,2
01398,Hwy. 50 @ Cottrelle Blvd.,43.784209999999995,-79.65847,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01398,0,1
01394,Albion Rd. @ Steeles Ave. W.,43.7499313,-79.639595,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01394,0,2
01393,Albion Rd. @ Steeles Ave. W.,43.7503242,-79.63935090000001,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01393,0,2
01363,Rathburn Rd. W. @ Elora Dr.,43.5863609,-79.6529465,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01363,0,2
01362,Rathburn Rd. W. @ Mavis Rd.,43.5833244,-79.65506740000001,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01362,0,1
01361,Rathburn Rd. W. @ Mavis Rd.,43.5826874,-79.6553574,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01361,0,2
01360,Rathburn Rd. W. @ Elora Dr.,43.585063899999994,-79.6535568,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01360,0,2
01359,Rathburn Rd. W. @ Elora Dr.,43.588474299999994,-79.65257259999998,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01359,0,1
01358,Rathburn Rd. W. @ Elora Dr.,43.5875092,-79.65257259999998,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01358,0,1
01357,Rathburn Rd. W. @ Elora Dr.,43.5843239,-79.6536331,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01357,0,1
01356,Rathburn Rd. W. @ Creditview Rd.,43.569828,-79.6690521,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01356,0,1
01249,Finch Ave. @ Kenview Blvd. (Wild Water Kingdom),43.7398796,-79.6431732,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01249,0,2
01248,Finch Ave. @ Kenview Blvd.,43.7401047,-79.6440582,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01248,0,2
01235,Eglinton Ave. W. @ Mississauga Rd.,43.5688934,-79.69577029999999,21,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01235,0,2
01234,Eglinton Ave. W. @ Mississauga Rd.,43.568302200000005,-79.695961,21,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01234,0,2
