Long,Lat,OGF_ID,ENGLISH_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,OBJECTID
-79.3932103872318,43.654253084792,127903641,"Renascent Fellowship, The",356 Dundas Street West,,Practice Location,Toronto,M5T1G5,757650
-79.4039632920079,43.6695475869785,127903643,"Renascent Fellowship, The",54 Madison Avenue,,Practice Location,Toronto,M5R2S4,757652
-79.3838856854915,43.6682812876876,127903644,"Renascent Fellowship, The",38 Isabella Street,,Administrative Office,Toronto,M4Y1N1,757653
-79.4298308992609,43.658224383790206,127903661,St. Michael's Homes,277 Rusholme Road,,Practice Location,Toronto,M6H2Y9,757670
-79.36885618034509,43.6642862876828,127903662,St. Michael's Homes,234 Carlton Street,Suite 232,Practice Location,Toronto,M5A2L1,757671
-79.3689039801672,43.6620895872949,127903663,St. Michael's Homes,262 Gerrard Street East,,Administration and Practice Location,Toronto,M5A2G2,757672
-79.39934258966059,43.659627185451406,127903664,Centre for Addiction and Mental Health (CAMH),33 Russell Street,,Practice Location,Toronto,M5S2S1,757673
-79.4211929951716,43.6430609815286,127903665,Centre for Addiction and Mental Health (CAMH),60 White Squirrel Way,,Practice Location,Toronto,M6J1H4,757674
-79.3939021878588,43.658871185570895,127903666,Centre for Addiction and Mental Health (CAMH),175 College Street,,Practice Location,Toronto,M5T1P7,757675
-79.4175459940326,43.6433337817457,127903667,Centre for Addiction and Mental Health (CAMH),1001 Queen Street West,,Administration and Practice Location,Toronto,M6J1H4,757676
-79.3989675894334,43.6584045852541,127903668,Centre for Addiction and Mental Health (CAMH),250 College Street,,Practice Location,Toronto,M5T1R8,757677
-79.3628797773965,43.65243158587771,127903669,Centre for Addiction and Mental Health (CAMH),393 King Street East,,Practice Location,Toronto,M5A1L3,757678
-79.4380900002897,43.6399981802064,127903949,Centre for Addiction and Mental Health (CAMH),1451 Queen Street West,1st & 2nd Floor,Practice Location,Toronto,M6R1A1,757679
-79.4461627028452,43.6397902797951,127903950,Centre for Addiction and Mental Health (CAMH),27 Roncesvalles Avenue,Suite 407,Practice Location,Toronto,M6R3B2,757680
