_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,LATITUDE,LONGITUDE,geometry
29970,994,6355204,ST PATRICK CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,49 FELSTEAD AVE,English Separate,6355204,49,Felstead Ave,49 Felstead Ave,M4J 1G3,former Toronto,Toronto,St. Patrick Catholic Secondary School,43.678322303,-79.3276494866,"{u'type': u'Point', u'coordinates': (-79.3276494866, 43.678322303)}"
29971,995,11070056,ST PAUL CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,80 SACKVILLE ST,English Separate,11070056,80,Sackville St,80 Sackville St,M5A 3E5,former Toronto,Toronto,St. Paul Catholic School,43.6554889408,-79.3617341875,"{u'type': u'Point', u'coordinates': (-79.3617341875, 43.6554889408)}"
29972,996,825426,ST PIUS X CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,71 JANE ST,English Separate,825426,71,Jane St,71 Jane St,M6S 3Y3,former Toronto,Toronto,St. Pius X Catholic School,43.6512772233,-79.4847133387,"{u'type': u'Point', u'coordinates': (-79.4847133387, 43.6512772233)}"
29973,997,518696,ST RAPHAEL CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,3 GADE DR,English Separate,518696,3,Gade Dr,3 Gade Dr,M3M 2K2,North York,Toronto,St. Raphael Catholic School,43.7285235857,-79.4887180637,"{u'type': u'Point', u'coordinates': (-79.4887180637, 43.7285235857)}"
29974,998,841367,ST RAYMOND CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,402 MELITA CRES,English Separate,841367,402,Melita Cres,402 Melita Cres,M6G 3X6,former Toronto,Toronto,St. Bruno / St. Raymond Catholic School,43.6732399544,-79.4270629278,"{u'type': u'Point', u'coordinates': (-79.4270629278, 43.6732399544)}"
29975,999,375269,ST RENE GOUPIL CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,44 PORT ROYAL TRL,English Separate,375269,44,Port Royal Trl,44 Port Royal Trl,M1V 2G8,Scarborough,Toronto,St. Rene Goupil Catholic School,43.8193483615,-79.2883031244,"{u'type': u'Point', u'coordinates': (-79.2883031244, 43.8193483615)}"
29976,1000,6408660,ST RICHARD CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,960 BELLAMY RD N,English Separate,6408660,960,Bellamy Rd N,960 Bellamy Rd N,M1H 1H1,Scarborough,Toronto,St. Richard Catholic School,43.7683108943,-79.2399872236,"{u'type': u'Point', u'coordinates': (-79.2399872236, 43.7683108943)}"
29977,1001,11405331,ST RITA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,178 EDWIN AVE,English Separate,11405331,178,Edwin Ave,178 Edwin Ave,M6P 3Z9,former Toronto,Toronto,St. Rita Catholic School,43.6661347664,-79.4564483358,"{u'type': u'Point', u'coordinates': (-79.4564483358, 43.6661347664)}"
29978,1002,485543,ST ROBERT CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,70 BAINBRIDGE AVE,English Separate,485543,70,Bainbridge Ave,70 Bainbridge Ave,M3H 2K2,North York,Toronto,St. Robert Catholic School,43.7496575318,-79.4441451837,"{u'type': u'Point', u'coordinates': (-79.4441451837, 43.7496575318)}"
29979,1003,10430603,ST ROCH CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,174 DUNCANWOODS DR,English Separate,10430603,174,Duncanwoods Dr,174 Duncanwoods Dr,M9L 2E3,North York,Toronto,St. Roch Catholic School,43.7537079717,-79.5667497159,"{u'type': u'Point', u'coordinates': (-79.5667497159, 43.7537079717)}"
29980,1004,354417,ST ROSE OF LIMA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,3220 LAWRENCE AVE E,English Separate,354417,3220,Lawrence Ave E,3220 Lawrence Ave E,M1H 1A4,Scarborough,Toronto,St. Rose Of Lima Catholic School,43.7574823909,-79.2405599229,"{u'type': u'Point', u'coordinates': (-79.2405599229, 43.7574823909)}"
29981,1005,9638114,ST SEBASTIAN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,717 BROCK AVE,English Separate,9638114,717,Brock Ave,717 Brock Ave,M6H 3P1,former Toronto,Toronto,St. Sebastian Catholic School,43.6627661509,-79.4399264681,"{u'type': u'Point', u'coordinates': (-79.4399264681, 43.6627661509)}"
29982,1006,30016433,ST SIMON CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,24 STRATHBURN BLVD,English Separate,30016433,24,Strathburn Blvd,24 Strathburn Blvd,M9M 2K3,North York,Toronto,St. Simon Catholic School,43.7188620936,-79.5329761661,"{u'type': u'Point', u'coordinates': (-79.5329761661, 43.7188620936)}"
29983,1007,1003707,ST STEPHEN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,55 GOLFDOWN DR,English Separate,1003707,55,Golfdown Dr,55 Golfdown Dr,M9W 2H8,Etobicoke,Toronto,St. Stephen Catholic School,43.7220025167,-79.5544731695,"{u'type': u'Point', u'coordinates': (-79.5544731695, 43.7220025167)}"
29984,1008,386354,ST SYLVESTER CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,260 SILVER SPRINGS BLVD,English Separate,386354,260,Silver Springs Blvd,260 Silver Springs Blvd,M1V 1S4,Scarborough,Toronto,St. Sylvester Catholic School,43.8053583872,-79.3022463993,"{u'type': u'Point', u'coordinates': (-79.3022463993, 43.8053583872)}"
29985,1009,352125,ST THERESA SHRINE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,2665 KINGSTON RD,English Separate,352125,2665,Kingston Rd,2665 Kingston Rd,M1M 1M2,Scarborough,Toronto,St. Theresa Shrine,43.7156378599,-79.2424755892,"{u'type': u'Point', u'coordinates': (-79.2424755892, 43.7156378599)}"
29986,1010,8571075,ST THOMAS AQUINAS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,636 GLENHOLME AVE,English Separate,8571075,636,Glenholme Ave,636 Glenholme Ave,M6E 3G9,York,Toronto,St. Thomas Aquinas Catholic School,43.6958897058,-79.4457437831,"{u'type': u'Point', u'coordinates': (-79.4457437831, 43.6958897058)}"
29987,1011,9234029,ST THOMAS MORE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,2300 ELLESMERE RD,English Separate,9234029,2300,Ellesmere Rd,2300 Ellesmere Rd,M1G 3M7,Scarborough,Toronto,St. Thomas More Catholic School,43.7783913599,-79.225165018,"{u'type': u'Point', u'coordinates': (-79.225165018, 43.7783913599)}"
