Neighbourhood, Guadeloupean, Scottish, North American Aboriginal origins, First Nations (North American Indian), Inuit, Mtis, Other North American origins, Acadian, American, Canadian, New Brunswicker, Newfoundlander, Nova Scotian, Ontarian, Qubcois, Portuguese, Other North American origins; n.i.e., European origins, British Isles origins, Channel Islander, Cornish, English, Irish, Manx, Welsh, British Isles origins; n.i.e., French origins, Alsatian, Breton, Corsican, French, Western European origins (except French origins), Austrian, Bavarian, Belgian, Dutch, Flemish, Frisian, German, Luxembourger, Swiss, Western European origins; n.i.e., Northern European origins (except British Isles origins), Danish, Finnish, Icelandic, Norwegian, Swedish, Northern European origins; n.i.e., Eastern European origins, Bulgarian, Caribbean origins, Byelorussian, Czech, Czechoslovakian; n.o.s., Estonian, Hungarian, Latvian, Lithuanian, Moldovan, Polish, Romanian, Russian, Slovak, Ukrainian, Eastern European origins; n.i.e., Southern European origins, Albanian, Bosnian, Catalan, Croatian, Cypriot, Greek, Italian, Kosovar, Macedonian, Maltese, Montenegrin, Serbian, Sicilian, Slovenian, Spanish, Yugoslavian; n.o.s., Southern European origins; n.i.e., Antiguan, Other European origins, Basque, Jewish, Roma (Gypsy), Slavic; n.o.s., Other European origins; n.i.e., Bahamian, Barbadian, Bermudan, Carib, Cuban, Dominican, Grenadian, Haitian, Jamaican, Kittitian/Nevisian, Martinican, Montserratan, Puerto Rican, St. Lucian, Arawak, Trinidadian/Tobagonian, Vincentian/Grenadinian, West Indian; n.o.s., Caribbean origins; n.i.e., Latin; Central and South American origins, Aboriginal from Central/South America (except Arawak and Maya), Argentinian, Belizean, Bolivian, Brazilian, Chilean, Colombian, Costa Rican, Ecuadorian, Guatemalan, Guyanese, Hispanic, Honduran, Maya, Beninese, Mexican, Nicaraguan, Panamanian, Paraguayan, Peruvian, Salvadorean, Uruguayan, Venezuelan, Latin; Central and South American origins; n.i.e., African origins, Central and West African origins, Akan, Angolan, Ashanti, Burkinabe, Cameroonian, Chadian, Congolese, Edo, Ewe, Gabonese, Gambian, Ghanaian, Guinean, Ibo, Ivorian, Liberian, Malian, Malink, Nigerian, Peulh, Senegalese, Sierra Leonean, Togolese, Wolof, Yoruba, Central and West African origins; n.i.e., Maure, North African origins, Algerian, Berber, Coptic, Dinka, Egyptian, Libyan, Moroccan, Sudanese, Tunisian, North African origins; n.i.e., Southern and East African origins, Afrikaner, Amhara, Bantu; n.o.s., Burundian, Djiboutian, Eritrean, Ethiopian, Harari, Kenyan, Malagasy, Mauritian, Oromo, Rwandan, Seychellois, Somali, South African, Tanzanian, Tigrian, Ugandan, Zambian, Zimbabwean, Zulu, Southern and East African origins; n.i.e., Other African origins, Black; n.o.s., Other African origins; n.i.e., Asian origins, West Central Asian and Middle Eastern origins, Afghan, Arab; n.o.s., Armenian, Assyrian, Azerbaijani, Georgian, Hazara, Iranian, Hmong, Iraqi, Israeli, Jordanian, Kazakh, Kurd, Kuwaiti, Kyrgyz, Maori, Lebanese, Palestinian, Pashtun, Saudi Arabian, Syrian, Tajik, Tatar, Turk, Turkmen, Uighur, Uzbek, Yemeni, West Central Asian and Middle Eastern origins; n.i.e., South Asian origins, Bangladeshi, Bengali, Bhutanese, East Indian, Goan, Gujarati, Kashmiri, Nepali, Pakistani, Punjabi, Sinhalese, Sri Lankan, Indonesian, Tamil, South Asian origins; n.i.e., East and Southeast Asian origins, Burmese, Cambodian (Khmer), Chinese, Filipino, Japanese, Karen, Korean, Laotian, Malaysian, Mongolian, Singaporean, Taiwanese, Thai, Tibetan, Vietnamese, East and Southeast Asian origins; n.i.e., Hawaiian, Other Asian origins, Other Asian origins; n.i.e., Oceania origins, Australian, New Zealander, Pacific Islands origins, Fijian, Polynesian; n.o.s., Samoan, Pacific Islands origins; n.i.e.
Beechborough-Greenbrook,0,165,85,60,10,20,620,0,25,570,0,10,0,10,0,"1,175",0,"2,780",465,0,0,270,150,0,0,15,100,0,0,0,100,100,20,0,0,10,0,0,65,0,10,0,10,0,10,0,10,0,0,220,35,"1,400",0,0,0,10,35,0,0,0,50,20,30,0,55,0,"2,070",0,0,0,10,0,40,610,0,15,20,0,0,0,0,265,0,0,10,10,0,10,0,0,0,0,35,0,0,55,20,170,10,775,0,0,0,0,80,0,70,135,80,85,385,35,0,0,10,95,0,10,15,25,10,80,0,0,0,0,25,0,0,0,10,30,10,20,40,730,280,0,10,0,0,10,0,0,0,0,0,0,115,0,30,0,0,0,0,105,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,245,0,0,0,0,0,50,10,0,20,0,0,0,0,0,140,10,10,0,0,0,10,0,0,210,10,200,"1,345",105,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,0,0,10,0,0,30,0,0,0,0,10,410,0,0,0,315,0,0,0,0,20,0,0,60,0,0,15,840,10,0,170,435,10,0,15,0,0,0,0,0,0,20,230,0,0,0,0,0,10,0,10,0,0,0,0
Bendale,0,"2,035",300,255,0,70,"2,915",0,180,"2,765",0,10,10,0,0,395,0,"8,285","4,395",0,0,"2,465","1,815",0,170,290,795,0,0,0,785,880,100,0,30,215,0,0,615,0,40,0,135,40,30,0,20,50,0,985,50,"1,680",10,40,10,20,125,10,15,10,325,120,115,0,260,10,"3,130",110,30,0,30,35,985,780,0,330,40,10,110,0,10,550,25,0,10,60,0,15,0,0,30,20,125,0,0,70,10,60,45,720,0,0,0,0,25,0,265,125,350,75,"1,020",70,0,0,10,40,50,25,10,35,10,445,10,0,25,0,80,70,0,0,10,125,10,15,55,"1,100",100,0,10,0,0,0,0,20,0,15,0,0,40,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,215,30,0,0,0,100,0,20,65,0,0,430,0,0,0,10,40,0,215,0,0,0,15,10,20,0,55,40,0,0,0,0,20,0,10,360,40,315,"17,890","1,530",745,90,50,0,10,15,0,190,0,15,10,20,0,0,0,0,0,60,20,170,0,45,10,0,80,0,15,0,0,50,"8,225",490,110,0,"4,340",10,55,0,35,745,85,55,"1,735",10,650,485,"8,345",10,10,"4,765","3,045",180,0,235,40,70,10,0,65,25,15,160,40,0,55,70,25,20,0,15,0,0,15,0
Birchcliffe-Cliffside,0,"4,795",625,430,10,215,"5,365",30,240,"5,145",0,35,20,10,30,475,0,"14,840","10,875",0,0,"6,110","5,170",10,485,810,"1,855",0,10,0,"1,845","2,680",195,0,70,705,10,0,"1,790",20,130,0,545,70,200,30,105,120,50,"2,120",35,840,40,105,20,90,300,10,20,0,705,150,445,20,635,0,"2,955",110,40,10,100,10,540,"1,205",0,185,80,0,50,0,0,245,70,0,30,110,0,60,0,10,30,10,65,0,20,20,10,30,55,425,0,0,0,0,10,0,90,25,90,40,440,0,0,0,0,10,25,70,0,25,0,145,10,10,30,0,65,15,10,0,10,40,0,30,10,545,45,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,55,0,0,0,0,35,15,0,0,0,0,190,0,0,0,0,0,25,45,0,30,0,0,0,0,0,0,65,0,0,0,0,0,0,10,245,45,200,"4,590",315,55,25,45,0,0,0,0,70,0,30,0,0,0,0,0,0,0,60,0,0,0,20,0,0,30,0,0,0,10,0,"1,530",460,220,0,655,0,0,0,20,65,10,0,70,15,85,35,"2,785",0,0,"1,490",910,225,0,35,15,0,10,0,20,20,30,205,10,0,0,0,95,70,20,0,0,0,0,0
Black Creek,0,425,220,150,0,70,"1,840",10,85,"1,760",0,0,0,20,0,255,0,"4,240","1,260",0,0,755,440,0,20,100,335,0,0,0,345,320,15,0,0,25,0,0,280,0,0,0,35,0,10,15,0,10,0,665,10,"3,445",0,20,0,0,310,0,0,0,155,65,80,0,75,0,"2,295",0,0,0,35,0,60,"1,565",0,0,0,0,35,0,0,415,10,15,10,25,0,20,0,0,15,0,105,10,20,35,100,140,75,"2,050",0,0,0,10,85,0,165,225,460,200,"2,100",35,50,0,0,40,110,140,0,305,140,665,70,20,20,15,140,30,20,0,110,260,0,25,55,"3,320","1,595",45,0,60,0,25,0,45,65,0,0,10,870,10,10,0,10,0,0,450,0,0,20,0,0,45,30,0,75,0,0,0,10,50,0,10,20,0,0,745,0,0,20,25,0,10,30,0,65,0,0,0,0,0,530,0,35,0,0,0,10,0,60,935,135,830,"9,055","2,045",130,105,30,500,0,0,0,55,0,920,10,10,0,0,0,0,0,40,15,0,0,150,0,0,125,0,0,0,0,200,"2,320",10,20,0,"1,505",0,0,0,0,130,80,0,520,0,170,55,"4,760",0,345,"1,375",980,40,170,55,95,10,10,0,0,40,0,"2,300",0,0,35,40,0,0,0,10,10,0,0,0
Blake-Jones,0,"1,295",345,275,0,65,"1,700",15,200,"1,580",0,0,0,0,0,155,0,"4,505","2,950",0,0,"1,700","1,450",0,170,210,740,10,0,0,730,900,45,0,25,250,0,0,590,0,55,0,305,65,55,10,60,90,25,770,0,475,0,80,10,15,85,0,55,0,280,60,190,50,140,15,"1,060",15,0,0,20,10,450,260,0,40,20,10,40,10,10,115,0,0,0,150,0,130,10,0,10,0,55,0,0,15,25,10,0,280,0,0,0,10,25,0,65,10,45,20,180,10,0,0,0,20,0,10,0,0,10,40,0,0,0,0,40,40,0,0,10,0,0,0,0,645,70,0,0,0,0,10,0,15,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0,0,30,0,65,0,0,0,0,10,0,25,20,0,0,345,0,0,0,0,0,45,80,0,10,0,0,0,10,0,135,0,55,0,0,0,0,0,0,160,25,135,"2,020",275,120,15,20,0,0,0,0,50,0,0,15,0,0,0,0,0,0,20,0,0,0,0,0,0,15,0,0,0,0,0,525,25,0,0,355,0,0,0,10,45,10,0,25,10,25,70,"1,270",15,0,"1,035",75,75,0,15,10,0,10,20,30,0,0,50,20,0,0,0,25,0,20,0,0,0,0,10
Briar Hill-Belgravia,0,695,135,115,0,25,"1,180",15,85,"1,100",0,0,0,0,0,"1,605",0,"7,755","1,515",0,0,760,625,0,80,170,465,0,0,0,460,635,30,0,10,170,0,0,450,0,25,0,65,10,10,0,25,10,10,"1,475",35,980,35,30,0,0,205,20,45,20,510,190,535,25,265,0,"4,900",600,85,0,60,15,335,"1,655",10,60,25,10,255,0,10,500,15,0,0,250,0,210,0,0,40,0,55,0,30,55,50,115,10,425,20,0,0,0,10,0,140,55,70,30,"1,185",50,85,0,0,200,45,280,25,65,0,115,20,0,20,10,155,20,0,0,50,75,20,70,45,565,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,10,0,20,10,85,0,0,0,0,50,0,20,0,0,0,220,0,0,0,0,0,110,65,0,0,0,0,0,0,0,10,35,0,10,10,10,0,0,0,225,30,190,"4,645",425,0,0,0,0,10,30,0,40,0,0,60,0,0,40,0,0,0,25,0,0,0,15,0,0,225,0,0,0,10,0,445,10,0,0,270,0,0,0,0,0,0,0,80,0,35,30,"3,775",20,0,450,"3,135",100,0,125,15,0,0,0,10,30,0,155,0,0,15,20,10,10,0,0,0,0,0,0
Bridle Path-Sunnybrook-York Mills,0,"1,530",40,35,0,0,"1,615",0,175,"1,465",0,0,0,0,0,110,0,"5,965","3,380",0,0,"1,960","1,440",0,150,170,640,0,0,0,645,"1,050",95,0,25,170,0,0,725,0,75,0,275,40,55,20,90,110,0,"1,395",25,110,0,35,10,30,215,20,60,0,510,170,550,30,185,25,"1,265",0,0,0,70,0,250,740,0,40,0,0,70,0,10,110,35,0,0,220,0,215,0,10,0,0,0,0,0,30,0,0,0,65,0,0,0,0,0,0,0,0,10,15,150,0,10,10,0,35,0,25,0,10,10,25,0,0,0,0,30,0,0,0,0,0,0,0,0,235,20,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,70,0,10,0,0,0,115,0,0,0,0,0,20,20,0,10,0,0,0,0,0,0,60,0,0,0,0,0,0,15,50,0,50,"3,005",805,10,0,75,10,0,0,0,475,0,10,60,0,0,0,0,0,10,40,20,0,15,15,0,0,115,0,0,0,0,15,410,0,0,0,285,0,0,0,0,110,20,10,0,0,15,25,"1,815",0,0,"1,445",75,100,0,220,0,0,0,0,45,15,0,35,0,0,15,20,60,35,0,25,15,0,0,0
Broadview North,0,"1,580",180,170,0,15,"1,570",10,130,"1,480",0,10,0,0,0,165,0,"8,025","3,560",0,0,"1,980","1,675",0,195,340,890,0,0,0,885,"1,045",60,0,25,160,0,0,820,0,30,10,280,50,60,0,105,75,20,"1,360",240,420,0,30,0,40,90,0,40,0,410,115,255,75,275,10,"3,650",360,70,0,85,15,"1,560",530,0,260,20,30,545,10,20,230,20,0,0,105,0,65,10,0,25,0,15,0,10,0,10,0,10,170,10,0,0,0,50,0,70,10,60,20,450,10,0,0,0,20,40,55,0,30,0,95,10,0,0,0,85,25,0,0,20,10,10,45,0,345,35,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,60,0,0,0,0,40,0,10,10,0,0,150,0,0,0,0,0,15,30,0,0,0,15,0,0,0,50,30,0,0,0,0,0,0,0,110,10,100,"2,500",525,70,35,0,10,25,0,0,110,0,10,10,0,0,25,0,0,0,50,15,0,0,35,0,0,135,0,0,0,0,15,655,15,20,0,405,0,0,10,10,115,0,0,65,0,30,45,"1,365",40,0,585,575,70,0,85,0,0,0,10,0,0,10,70,0,0,0,0,15,10,10,0,0,0,0,0
Brookhaven-Amesbury,0,550,135,110,0,30,"1,555",15,50,"1,495",0,0,0,0,0,"1,780",10,"6,690","1,500",0,0,745,610,0,60,125,415,0,0,0,410,545,60,0,10,155,10,10,380,0,0,0,50,10,10,0,35,10,0,655,0,"3,045",15,25,0,0,105,30,0,0,340,15,105,10,220,0,"4,545",15,0,0,10,0,130,"1,985",0,20,35,0,45,0,0,675,15,10,0,80,10,45,0,0,25,0,95,0,0,65,100,260,50,"1,640",10,0,0,0,195,0,175,200,300,290,"2,025",115,65,0,10,200,50,255,70,315,75,230,10,30,10,0,220,40,25,0,50,235,65,45,115,"2,440",660,0,20,20,0,35,0,25,0,0,0,80,260,0,0,0,0,0,0,190,0,10,50,0,0,10,10,0,45,0,0,0,0,15,0,0,20,0,0,860,0,0,0,0,0,140,190,0,0,0,0,0,0,0,410,20,15,30,0,0,15,0,30,895,40,865,"4,730",350,120,0,50,0,0,0,0,60,0,0,10,0,0,25,0,0,0,25,0,0,0,10,0,0,60,0,0,15,10,25,"1,245",90,35,0,720,0,10,0,0,100,0,0,245,25,135,80,"3,140",0,30,900,"1,330",45,0,40,10,0,0,0,0,10,0,"1,115",20,0,30,30,25,15,0,10,0,0,0,10
Cabbagetown-South St.James Town,0,"2,305",315,230,10,100,"2,080",15,250,"1,870",0,10,0,0,0,160,15,"7,805","5,215",0,0,"2,855","2,435",0,350,515,"1,160",10,0,0,"1,160","1,835",125,0,65,410,10,0,"1,280",0,70,15,310,80,25,0,115,100,20,"1,545",40,395,25,70,15,20,145,0,50,10,510,85,375,75,425,40,"1,275",20,10,0,40,0,135,605,0,30,15,0,75,0,10,250,40,0,0,265,0,225,0,0,35,0,20,10,0,25,20,10,0,210,0,0,0,10,0,0,85,0,30,30,365,10,30,0,0,55,35,30,0,20,0,40,0,0,0,0,75,0,0,0,0,30,0,15,20,335,40,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,80,0,0,0,0,60,0,0,0,0,0,105,0,0,0,20,0,15,10,0,0,0,10,0,20,0,0,25,15,0,0,0,0,0,10,105,35,75,"2,440",245,10,30,25,10,0,0,0,40,0,10,0,0,0,10,0,0,0,20,0,0,0,30,0,0,35,0,0,0,30,30,525,20,30,0,325,10,0,0,0,45,10,0,100,0,10,0,"1,710",25,0,855,510,70,0,105,15,0,35,10,0,10,20,145,10,0,25,25,30,10,10,0,0,0,0,0
Caledonia-Fairbank,0,385,65,50,0,25,965,20,75,915,0,0,0,0,0,"3,560",0,"6,565","1,050",0,0,495,425,0,25,155,310,0,0,0,315,295,10,0,10,55,0,0,220,0,0,0,40,10,10,0,10,15,0,370,0,710,10,10,0,20,70,0,10,0,120,45,125,0,50,0,"5,390",100,0,0,75,0,185,"1,270",30,15,10,0,10,0,10,405,0,0,0,85,0,25,0,0,65,0,25,0,25,35,10,105,10,240,0,0,0,0,25,0,80,40,80,45,960,35,10,0,10,140,65,35,35,115,25,90,10,30,0,0,155,20,0,0,30,85,10,45,90,330,40,0,20,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,190,70,120,"1,805",120,0,10,0,0,0,0,0,20,0,10,0,0,10,10,0,0,0,15,0,0,0,10,0,0,45,0,0,0,0,0,275,20,0,0,215,0,0,0,0,0,0,15,20,0,0,0,"1,425",20,15,325,885,25,0,30,0,0,0,0,0,0,20,145,0,0,0,0,0,0,0,0,0,0,0,0
Casa Loma,0,"2,105",180,135,0,45,"2,290",0,325,"2,055",0,0,0,0,0,170,0,"8,790","4,715",0,0,"2,505","2,185",0,245,510,895,0,0,0,890,"1,590",185,15,45,360,0,0,"1,085",0,85,0,385,90,35,15,95,170,0,"3,155",30,245,50,80,20,15,290,105,180,25,"1,510",300,"1,095",35,480,60,"1,345",20,35,10,60,0,115,705,0,20,10,10,65,0,25,275,30,0,10,720,10,670,0,0,60,0,10,10,0,0,0,20,0,115,0,0,0,10,0,10,45,10,10,25,325,10,0,0,0,35,10,70,0,0,0,20,0,0,0,0,95,10,0,0,10,10,0,30,10,340,35,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,15,0,0,0,0,0,20,0,95,10,10,0,0,35,0,40,0,10,0,150,0,0,0,0,0,15,30,0,0,0,0,0,0,0,10,95,0,0,0,0,0,0,0,55,20,30,"1,480",330,0,10,10,15,0,0,0,90,0,20,85,0,0,0,0,0,0,50,15,0,0,20,0,0,20,0,10,0,0,0,355,20,0,0,285,0,0,0,0,25,25,10,20,10,0,0,825,30,10,450,90,110,0,105,0,0,0,10,35,15,25,35,0,0,0,0,25,0,20,10,0,0,10,0
Centennial Scarborough,0,"1,925",250,215,0,35,"2,435",0,100,"2,355",0,0,0,0,0,385,0,"7,495","4,440",10,0,"2,540","1,820",0,215,375,700,0,0,0,700,"1,210",80,0,35,265,0,0,885,0,45,0,170,25,85,0,0,50,10,"1,075",20,970,10,30,0,30,155,40,35,0,365,130,155,50,230,10,"2,190",65,0,0,80,40,340,900,0,155,20,15,90,15,15,330,30,0,0,50,0,10,0,15,20,0,65,0,0,15,10,10,0,510,0,0,0,0,20,0,175,15,140,80,365,0,0,0,0,10,25,25,10,0,10,200,25,10,0,0,60,0,0,0,0,0,0,10,20,520,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,45,0,0,10,0,35,0,0,0,0,0,170,0,0,0,0,0,0,95,0,10,0,0,0,0,0,25,30,15,0,0,0,0,0,10,260,40,225,"4,750",410,30,0,60,15,0,0,0,105,0,55,15,10,0,0,0,0,0,65,50,0,0,30,0,0,0,0,0,10,0,15,"2,525",135,130,0,"1,420",0,0,10,0,175,10,50,575,0,210,75,"1,895",0,0,975,855,110,0,45,0,25,0,0,10,0,0,30,25,0,0,20,15,15,0,0,0,0,0,0
Church-Yonge Corridor,0,"4,325",635,540,10,130,"4,525",40,425,"4,180",0,35,0,0,50,515,0,"17,270","9,885",10,10,"5,255","4,705",0,415,970,"2,390",0,0,0,"2,390","3,360",215,0,105,920,10,0,"2,315",0,80,20,700,150,85,55,180,255,20,"4,190",140,940,80,105,20,50,405,110,120,20,"1,530",280,"1,145",80,"1,165",55,"3,675",35,55,20,150,30,375,"1,665",0,115,85,45,265,0,70,730,55,20,10,555,10,425,20,10,80,0,115,0,0,65,0,25,35,385,0,0,0,10,0,0,175,10,75,90,"1,150",65,35,0,0,140,25,120,10,0,30,190,0,10,0,0,240,60,0,10,110,65,0,70,70,"1,535",345,0,20,0,0,0,0,60,0,0,25,10,115,0,10,0,0,0,10,80,0,0,20,0,0,10,20,0,335,20,10,0,0,180,45,95,10,0,10,460,0,10,10,30,0,45,70,10,25,0,20,30,10,10,55,80,20,10,15,0,10,0,55,425,75,380,"10,740","1,870",65,135,95,15,40,0,0,605,0,60,65,85,45,0,0,0,0,315,95,0,100,80,0,30,160,0,0,0,20,120,"2,730",110,20,0,"2,045",10,0,10,40,260,25,0,215,95,55,145,"6,325",20,30,"4,305",820,315,0,720,40,70,35,60,135,40,0,245,0,0,20,10,125,85,30,20,0,0,0,0
Clairlea-Birchmount,0,"2,010",445,320,10,120,"4,205",25,125,"4,125",0,30,0,0,0,370,0,"9,420","4,965",0,0,"2,810","2,115",10,220,375,975,0,0,0,975,"1,015",80,0,10,215,0,0,745,0,35,0,280,15,105,20,30,85,35,"1,465",105,"1,545",10,0,10,55,300,10,20,0,455,105,155,65,375,10,"3,500",125,30,0,50,40,980,"1,210",20,300,60,0,65,0,30,490,30,0,10,85,0,10,45,10,20,0,100,0,10,60,35,80,15,845,10,0,10,0,20,10,250,50,160,40,675,20,0,0,10,15,25,90,10,20,40,290,20,0,0,35,40,35,0,0,0,60,10,40,10,"1,585",190,0,0,0,0,0,0,10,0,0,0,0,30,0,0,10,0,10,0,55,0,0,15,0,0,0,45,0,125,0,0,0,0,50,0,40,30,0,10,910,0,20,0,0,0,230,475,0,0,0,0,0,20,0,105,20,0,65,40,0,0,0,35,365,40,310,"12,705",615,200,10,35,0,0,0,10,195,0,10,20,0,0,40,0,0,0,25,0,0,15,20,25,0,60,0,0,25,0,10,"6,060","1,390",700,0,"2,185",20,30,0,135,975,0,0,480,40,190,455,"6,065",15,10,"2,440","3,250",215,0,115,0,65,10,0,20,15,50,140,20,0,160,165,45,20,15,10,0,0,0,0
Clanton Park,0,530,115,90,0,30,"2,185",0,240,"1,980",0,0,0,0,0,220,0,"9,220","1,605",0,0,935,470,10,60,170,325,0,0,0,330,980,150,0,30,190,0,0,635,0,10,0,175,60,30,0,40,40,10,"4,225",85,460,45,75,150,0,635,60,365,15,"2,135",440,"1,590",15,435,120,"3,115",25,0,0,45,0,480,"1,705",0,35,10,0,65,0,15,620,15,0,0,"1,405",0,"1,235",0,0,170,0,10,0,0,75,0,25,0,225,0,0,0,10,10,0,25,40,50,45,470,10,20,0,0,25,0,165,0,80,10,85,0,0,0,0,25,0,10,10,0,35,0,20,0,850,105,10,0,0,0,10,0,10,0,0,0,0,50,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,395,0,0,0,0,65,20,315,0,10,0,270,0,0,0,0,0,10,0,0,0,0,10,0,0,0,20,215,0,0,0,0,10,0,0,105,35,70,"6,005","1,035",20,35,35,10,35,35,0,230,0,40,470,10,15,15,0,0,0,35,30,10,0,15,0,10,45,0,0,20,20,0,495,0,25,0,385,0,0,0,10,35,0,0,25,30,0,25,"4,550",0,0,835,"3,505",70,0,200,0,15,30,0,25,10,20,120,0,0,10,10,55,45,10,0,0,0,0,0
Cliffcrest,0,"2,685",415,325,0,100,"3,175",0,140,"3,080",0,25,0,10,10,400,0,"8,850","5,860",0,0,"3,225","2,625",0,320,400,965,0,0,0,965,"1,390",95,0,25,325,0,10,"1,025",0,20,10,200,70,45,10,20,45,10,"1,305",0,945,20,55,10,30,180,50,35,0,555,60,195,10,315,0,"2,165",30,0,0,35,30,345,905,15,180,15,0,20,0,10,275,25,0,15,90,0,45,0,0,30,0,80,0,0,0,0,120,15,500,10,0,0,0,50,0,145,80,135,40,510,40,10,0,0,20,20,40,0,40,0,245,10,0,0,0,65,25,20,0,20,25,0,20,0,460,60,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,55,0,0,0,0,40,0,10,10,0,0,150,0,10,0,0,0,50,35,0,10,0,0,0,0,0,10,30,0,0,0,0,0,0,15,200,65,135,"5,305",390,105,20,10,0,10,0,25,95,0,35,10,0,25,25,0,0,25,30,10,0,10,10,0,0,30,0,0,0,0,15,"2,995",595,385,0,"1,240",0,0,0,35,160,0,10,435,20,205,215,"1,990",0,0,"1,040",805,115,0,60,0,10,0,0,10,0,0,70,0,0,75,65,40,10,10,25,0,0,0,0
Corso Italia-Davenport,0,"1,245",240,200,0,55,"1,810",20,195,"1,640",0,10,0,10,0,"3,690",0,"10,930","2,990",0,10,"1,595","1,450",0,160,325,840,0,0,0,845,"1,145",95,0,25,265,15,10,800,10,30,0,245,25,25,20,105,70,10,"1,300",30,625,10,30,0,55,180,50,40,0,480,90,315,40,350,20,"7,220",0,20,0,40,10,275,"2,920",0,20,15,0,35,0,35,530,30,0,0,180,0,120,0,10,40,0,50,0,0,75,15,55,25,265,0,0,0,10,15,0,65,35,55,30,"1,315",135,45,0,20,180,220,95,0,165,0,55,20,15,0,0,165,20,0,15,60,100,20,20,75,385,65,0,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,35,0,10,0,0,10,0,0,0,0,0,80,10,0,0,0,0,30,45,0,0,0,0,0,0,0,10,25,10,0,0,0,0,0,0,190,35,180,"1,820",315,0,30,10,0,10,0,0,120,0,20,15,0,0,0,0,0,0,60,0,0,0,20,0,0,35,0,0,0,0,0,390,0,0,0,305,0,0,15,0,60,10,0,25,30,20,10,"1,165",0,0,520,390,70,0,85,0,0,10,0,0,0,0,125,0,10,0,0,40,0,45,0,0,0,0,0
Danforth,0,"1,765",260,245,0,40,"2,090",10,190,"1,935",0,0,0,10,0,145,0,"6,955","4,105",0,0,"2,305","1,865",0,190,460,835,0,0,10,840,"1,195",60,0,0,315,0,0,885,0,75,10,255,60,70,10,65,80,20,"1,155",10,265,10,45,10,10,90,50,40,0,410,105,310,10,305,0,"2,380",40,0,0,35,30,810,"1,160",0,110,30,10,75,10,70,95,15,0,0,165,10,130,0,0,15,0,25,0,10,0,10,0,0,160,0,0,0,0,0,0,25,0,35,0,170,0,25,0,0,0,20,20,0,0,10,40,0,10,0,0,20,0,0,0,15,15,0,20,0,270,55,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,40,0,10,0,0,20,0,0,0,0,0,80,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,35,10,0,0,0,10,0,0,100,0,100,"2,235",270,10,10,20,10,0,0,0,60,0,0,45,0,0,0,0,0,0,55,0,0,0,0,0,25,40,0,0,0,0,25,760,0,25,0,595,0,35,0,0,95,0,0,15,0,15,20,"1,260",35,0,925,100,90,0,65,0,10,0,0,20,0,20,65,30,0,0,0,90,95,15,20,0,0,0,15
