lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc
43.6462468,-79.39452849999998,650.0,0,70600,0,1,1,627500,0,0,0,0,1,0,0,0,0,0,0
43.711857200000004,-79.3294906,650.0,1,28654,0,1,1,310000,0,0,0,0,1,0,0,0,0,0,0
43.6460058,-79.38990849999998,250.0,0,70600,0,0,1,470000,0,0,0,0,1,0,0,0,0,0,0
43.6455046,-79.3924571,250.0,0,70600,0,0,1,476500,0,0,0,0,1,0,0,0,0,0,0
43.641579,-79.4159028,850.0,1,70623,0,2,2,832000,0,0,0,0,1,0,0,0,0,0,0
43.77744819999999,-79.2810949,1300.0,2,31825,1,2,2,582000,0,0,0,0,1,0,0,0,0,0,0
43.66703,-79.37638620000001,850.0,1,32648,0,2,2,725500,0,0,0,0,1,0,0,0,0,0,0
43.7388999,-79.40673520000001,1300.0,2,123077,1,1,2,800000,0,0,0,0,1,0,0,0,0,0,0
43.82482590000001,-79.27449299999998,750.0,1,28085,1,1,1,355000,0,0,0,0,1,0,0,0,0,0,0
43.7713861,-79.2607673,950.0,1,33256,0,2,2,415000,0,0,0,0,1,0,0,0,0,0,0
43.7957956,-79.32861340000002,1100.0,1,31826,1,3,2,553000,0,0,0,0,0,1,0,0,0,0,0
43.7816907,-79.41438529999998,950.0,1,45212,0,1,2,455000,0,0,0,0,1,0,0,0,0,0,0
43.6639075,-79.34180309999998,1900.0,1,53803,1,2,2,1400000,0,0,0,0,1,0,0,0,0,0,0
43.72358699999999,-79.32487859999998,1300.0,1,28654,1,2,2,595000,0,0,0,0,1,0,0,0,0,0,0
43.77340299999999,-79.3446365,550.0,1,36359,1,1,2,545000,0,0,0,0,1,0,0,0,0,0,0
43.7878493,-79.3096068,,2,31826,0,4,3,967500,0,0,0,0,0,0,1,0,0,0,0
43.6827638,-79.393061,2124.0,2,114174,0,3,2,1420000,0,0,0,0,0,1,0,0,0,0,0
43.7542374,-79.4432703,1300.0,1,51181,1,2,2,760000,0,0,0,0,1,0,0,0,0,0,0
