lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc,neighbourhood,geometry,within_500_m,within_1_km,within_500_1km
43.7638433,-79.49811369999998,1100.0,1,29958,0,3,2,455000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1389384.004739988 14386849.40160059),99,248,149
43.7638433,-79.49811369999998,650.0,1,29958,0,1,1,315000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1389384.004739988 14386849.40160059),99,248,149
43.7638433,-79.49811369999998,1500.0,1,29958,1,2,3,509900,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1389384.004739988 14386849.40160059),99,248,149
43.7642763,-79.4947912,1100.0,1,29958,0,2,1,385000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389639.760422496 14386734.84235553),73,244,171
43.7642763,-79.4947912,950.0,1,29958,0,2,1,353000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389639.760422496 14386734.84235553),73,244,171
43.7642763,-79.4947912,1300.0,1,29958,0,3,2,442500,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389639.760422496 14386734.84235553),73,244,171
43.7642763,-79.4947912,1100.0,1,29958,0,2,1,406000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389639.760422496 14386734.84235553),73,244,171
43.7642763,-79.4947912,1100.0,1,29958,0,3,2,402000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389639.760422496 14386734.84235553),73,244,171
43.7643414,-79.49384529999998,1500.0,1,29958,2,4,3,460000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1389714.176920254 14386708.6930263),61,243,182
43.76442520000001,-79.4962737,950.0,1,29958,0,2,1,390000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389516.205947878 14386747.92694806),95,246,151
43.76442520000001,-79.4962737,1100.0,1,29958,0,2,1,395000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389516.205947878 14386747.92694806),95,246,151
43.76442520000001,-79.4962737,950.0,1,29958,0,2,1,375000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389516.205947878 14386747.92694806),95,246,151
43.76442520000001,-79.4962737,1100.0,1,29958,0,2,1,424000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389516.205947878 14386747.92694806),95,246,151
43.76442520000001,-79.4962737,1100.0,1,29958,0,3,2,395000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389516.205947878 14386747.92694806),95,246,151
43.7645868,-79.4919359,950.0,1,29958,0,2,1,368000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389861.248867766 14386643.23223324),32,198,166
43.7645868,-79.4919359,1300.0,1,29958,0,3,2,467000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389861.248867766 14386643.23223324),32,198,166
43.7645868,-79.4919359,1300.0,1,29958,0,3,2,430000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389861.248867766 14386643.23223324),32,198,166
43.7645868,-79.4919359,1300.0,1,29958,0,3,2,450000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389861.248867766 14386643.23223324),32,198,166
43.7652367,-79.50043509999998,1300.0,1,29958,1,4,4,620000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1389158.536914537 14386740.89174422),198,247,49
43.7652815,-79.5022343,2750.0,1,29958,3,9,9,1080000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1389012.339944536 14386771.86965155),162,249,87
43.76533999999999,-79.4931841,1300.0,1,29958,0,3,2,465000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389739.899783836 14386584.45422575),72,238,166
43.76533999999999,-79.4931841,1300.0,1,29958,0,3,2,405000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1389739.899783836 14386584.45422575),72,238,166
43.765395899999994,-79.5034952,3250.0,2,29958,3,6,10,1150000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1388907.594805751 14386784.34934942),139,247,108
43.7656111,-79.5041212,2750.0,2,29958,2,4,4,849000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1388851.224351138 14386772.93411172),130,249,119
43.765707,-79.50475820000003,2250.0,2,29958,2,3,4,860000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1388797.25740843 14386775.00132053),123,250,127
43.7659805,-79.5026166,1750.0,2,29958,2,3,4,793000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1388962.262712509 14386701.79910091),167,246,79
43.7661843,-79.49602689999998,2750.0,2,29958,3,9,5,1098000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1389487.565416922 14386547.42673527),141,244,103
43.7663069,-79.5015219,1300.0,2,29958,0,3,3,610000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1389041.460190282 14386643.63432394),205,247,42
43.7663069,-79.5015219,1300.0,2,29958,1,3,2,619000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1389041.460190282 14386643.63432394),205,247,42
